Identifer	Experiment Metadata			Sample Metadata			
Sample ID	Project	Experiment Name	Experiment Status	Sample Type	Cryosectioning Date	Cryosection Size (um)	Operator
015_D2	KPMP	KPMP_20210901A_10X-Dual-AC	S5 (Analysis)	NUCLEI	20210831	280	Kim
015_D2	KPMP	KPMP_20210901A_10X-Dual-R	S5 (Analysis)	NUCLEI	20210831	280	Kim
016_D2	KPMP	KPMP_20210901B_10X-Dual-AC	S5 (Analysis)	NUCLEI	20210831	280	Kim
016_D2	KPMP	KPMP_20210901B_10X-Dual-R	S5 (Analysis)	NUCLEI	20210831	280	Kim
	KPMP	KPMP_20210915	GO				
S-2006-005012_R1	KPMP	KPMP_20210915A_10X-R	S4 (fastq)	NUCLEI	20210914	280	Kim
S-2002-007567_R1	KPMP	KPMP_20210915B_10X-R	S4 (fastq)	NUCLEI	20210914	280	Kim
S-2002-005624_R1	KPMP	KPMP_20210915C_10X-R	S4 (fastq)	NUCLEI	20210914	280	Kim
	KPMP	KPMP_20210820	GO				
k1900069_1D6-AC	KPMP	KPMP_20210820A_10X-Dual-AC	S5 (Analysis)	NUCLEI	20210820		BZHANG
k1900069_1D6-R	KPMP	KPMP_20210820A_10X-Dual-R	S5 (Analysis)	NUCLEI	20210820		BZHANG
020_1D6-AC	KPMP	KPMP_20210820B_10X-Dual-AC	S5 (Analysis)	NUCLEI	20210820		BZHANG
020_1D6-R	KPMP	KPMP_20210820B_10X-Dual-R	S5 (Analysis)	NUCLEI	20210820		BZHANG
	KPMP	KPMP_20210917	GO				
K2000201_D1-AC	KPMP	KPMP_20210917A_10X-Dual-AC	S5 (Analysis)	NUCLEI	20210917		BZHANG
K2000201_D1-R	KPMP	KPMP_20210917A_10X-Dual-R	S5 (Analysis)	NUCLEI	20210917		BZHANG
K2100035_1_D1-AC	KPMP	KPMP_20210917B_10X-Dual-AC	S5 (Analysis)	NUCLEI	20210917		BZHANG
K2100035_1_D1-R	KPMP	KPMP_20210917B_10X-Dual-R	S5 (Analysis)	NUCLEI	20210917		BZHANG
019-1-D6-AC	KPMP			NUCLEI	2021118		BZHANG
019-1-D6-R	KPMP			NUCLEI	2021118		BZHANG
k21-234-2-D1-AC	KPMP			NUCLEI	2021118		BZHANG
k21-234-2-D1-R	KPMP			NUCLEI	2021118		BZHANG